Absonancia;falta de harmonia entre duas ou mais coisas.
Acodamento;ato de ter pressa ou precipitacao.
Acrimonia;relativo a azedar, azedo. Exemplo: Adicione limao ao iogurte e a mistura estara acrimonia.
Admoesta;perdao, isencao, arrego, repreensao, reprimenda. Exemplo: Ela sempre admoesta a filha.
Adregar;acontecer ao acaso, conseguir ou encontrar algo por acaso.
Adrica;termo nautico que designa o cabo que ica as bandeiras na embarcacao.
Adstrito;ligacao a algo, alguma coisa ou alguem. Exemplo: Voce esta adstrito ao casamento.
Afasia;perda da capacidade de se expressar ou de compreender atraves da linguagem.
Alarido;confusao, algazarra, farra.
Alcunha;apelido.
Aleivosia;atitude de quem e traicoeiro e desleal.
Alvissaras;expressao de alegria devido a noticia recebida. Exemplo: Em alvissaras ao receber o convidado.
Amago;aquilo que e do interior profundo do corpo, sentimento. Exemplo: O amago estava fragilizado.
Apanagio;privilegio e regalia de uma pessoa ou um grupo.
Ardiloso;manhoso, esperto.
Arquetipo;aquilo que serve de modelo ou padrao para ser copiado.
Arroubo;entusiasmo, fervor, encanto.
Assisado;caracteristica de quem age com juizo.
Astenia;diminuicao da forca fisica.
Azado;algo que e proprio ou oportuno.
Babugem;espuma do mar.
Balaustre;pequena coluna ornamentada utilizada em cercas.
Balburdia;baderna, bagunca, confusao.
Bambaleadura;ato de bambalear (bambolear, saracotear).
Barafustar;movimentar-se de forma descontrolada, em linguagem figurada significa protestar.
Bazofia;excesso de vaidade, designa a pessoa que se orgulha de forma exagerada de suas qualidades ou facanhas.
Belicoso;relativo à guerreiro, aguerrido. Exemplo: O homem belicoso jamais vive num mundo de paz.
Beneplacito;aquilo que e consentido e celebrado. Exemplo: Ele foi beneplacito com sua aproximacao de flerte.
Berma;beira, acostamento.
Besugo;pequeno peixe acantopterigio vulgar.
Bouca;terreno nao cultivado.
Caiadela;revestimento feito com cal.
Capcioso;aquele que e enganoso, em quem/algo que nao e possivel confiar. Exemplo: A estrategia era capciosa.
Caracente;sinonimo de carente, aquele que carece.
Carenado;adjetivo que se refere a um objeto ou animal que possui carena, uma saliencia no dorso.
Casiteu;casinha pobre, o mesmo que casebre.
Chistoso;relativo a brincalhao, jocoso, piadista. Exemplo: Ele era chistoso com as criancas.
Ciciar;sibilar, sussurrar.
Cineangiocoronariografia;exame feito para obter informacoes das arterias e do coracao.
Cinesia;capacidade de se movimentar.
Consentaneo;que e adequado e conveniente.
Consociacao;compatibilidade ou combinacao de ideias.
Cornucopia;abundancia, vaso em forma de chifre cheio de flores e frutos que representa a fartura.
Corolario;resultado final, uma conclusao findada. Exemplo: O corolario de beber em demasia e uma cirrosa hepatica.
Cuntatorio;que e feito com atraso ou demora.
Curra;abuso sexual.
Custodiado;que esta detido, resguardado ou protegido.
Dacriocistossiringotomia;incisao do saco lacrimal e do ducto lacrimal.
Dandi;quem procura sempre se vestir com elegancia. Exemplo: Vestia-se tal qual um Dandi.
Dardejar;atirar dados, em linguagem figurada, agredir moralmente uma pessoa.
Dealbacao;ato de tornar branco ou alvejar, o mesmo que branqueamento.
Desasnado;aquele que recebe instrucoes. Exemplo: Parece desasnado apos o treinamento intenso.
Dilapidar;desperdicar, estragar, destruir.
Diligencia;empenho, cuidado e prontidao na realizacao de algo.
Dissentir;discorda com veemencia. Exemplo: Dissentiu do acordo estabelecido.
Dissintir;discorda com veemencia.
Duidade;unidade formada por dois, o mesmo que par.
Ebia;engano, erro.
Efluvio;relativo a aroma. Exemplo: Seu efluvio era um atrativo.
Elucubracao;reflexao e meditacao profunda sobre os assuntos.
Empedernido;aquele que nao se deixa persuadir ou nao se comove. Exemplo: Tao empedernido que nem a morte do pai o abate.
